 	Area	Mean	Min	Max	X	Y	Perim.	
133	5	72.800	70	78	371.500	313.300	8.485	
134	4	81	72	92	555.500	315	7.657	
135	4	78.500	74	85	156	316	5.657	
136	18	76.278	70	85	380.444	318	19.556	
137	6	72	70	74	455.833	318.333	9.071	
138	5	74.200	70	79	41.100	319.300	7.657	
139	8	78.875	70	92	397.375	319.375	9.071	
140	16	76.313	70	87	27.625	322.688	15.314	
141	4	71.750	70	73	441	324.500	7.071	
142	9	75.444	70	85	382.389	327.056	14.728	
143	9	71.889	70	74	24.944	327.278	12.485	
144	6	75.667	70	80	146.167	327.833	9.071	
145	12	85.500	73	110	366.167	329.583	12.485	
146	11	73.545	70	83	402.591	329.227	12.485	
147	47	78.489	70	105	487.074	333.606	26.385	
148	8	73	70	77	420	333.375	10.485	
149	6	79.500	72	91	362.500	335.667	8.485	
150	9	70.667	70	72	411.722	335.500	15.314	
151	5	76	72	80	472.900	336.700	7.071	
152	5	74.400	72	81	44.900	338.300	7.657	
153	5	72.200	70	74	394.900	338.300	7.657	
154	5	77.400	70	92	799.900	338.700	7.071	
155	9	72.444	70	77	132.500	339.278	14.485	
156	4	70.750	70	73	419.500	340	7.657	
157	32	75.125	70	81	127.500	345.031	24.728	
158	7	82.286	70	98	347.500	341.214	9.071	
159	4	77.750	72	87	498.750	342.500	7.071	
160	22	79.318	70	98	139.727	343.818	24.385	
161	56	78.036	70	104	387.304	346.214	38.627	
162	8	72.250	70	77	366.875	344.250	10.485	
163	6	76.667	72	84	121.333	346.333	8.485	
164	10	71.200	70	73	402.600	346.700	13.314	
165	36	75.222	70	83	355.944	351.444	30.385	
166	16	72.688	70	78	343.125	351.563	20.385	
167	23	74.652	70	87	378.674	351.804	21.799	
168	65	74.354	69	88	407.485	356.162	38.284	
169	8	74	70	79	412.625	351.375	9.071	
170	8	72.750	70	77	385.250	353	14.142	
171	8	72.250	70	74	487	354	9.657	
172	35	86.371	70	116	298.700	356.271	22.142	
173	11	82.182	72	100	392.045	355.682	11.899	
174	5	75.800	72	85	42.300	356.100	7.657	
175	17	98.529	70	149	803.676	358.559	18.728	
176	4	71.750	70	73	394.750	361.500	7.071	
177	5	75.800	70	80	491.700	360.900	7.657	
178	41	72.561	70	79	373.646	366.744	36.527	
179	18	74.500	70	88	389.111	364.611	17.556	
180	8	74	70	80	415.250	365.125	10.485	
181	7	73.857	70	80	488.214	373.500	9.071	
182	18	87.611	72	128	811.056	374.500	16.142	
183	6	71.333	70	74	393.667	375.333	8.485	
184	6	75	70	78	341.667	376.167	9.071	
185	7	74.571	70	81	411.500	376.214	9.071	
186	4	72.250	70	75	348	377	5.657	
187	34	79.118	70	120	407.618	380.471	33.456	
188	4	71.750	70	74	468.500	379	7.657	
